user_id,age,occupation,job_title,education,city,income,work_years,sesame_score,transaction_frequency,transaction_amount,kyc_raw_text,reasoning_chain,risk_score,is_risky_user
4,54,销售,销售经理,硕士,成都,16563.955065251754,31,850.0,47,10057.868320750826,"KYC核查结果：用户4在销售领域任销售经理一职，月薪约1,380元。学历硕士，年龄54岁，居住地成都。职业发展稳定，行业内资深人士。",[交易稀疏] 月均交易47笔，可能存在隐性收入|[低风险] 综合评分0.07，可以正常审批,0.0699999999999999,0
6,64,技术,技术总监,高中,西安,28328.161078043177,36,658.2122794713039,43,36721.351234008376,"申请人基本信息：姓名编号6，出生于1962年，常驻西安。教育背景：高中。现职：技术总监@技术行业。收入水平：28,328/年。从业36年。",[职业优势] 技术行业收入稳定，风险较低|[交易稀疏] 月均交易43笔，可能存在隐性收入|[低风险] 综合评分0.24，可以正常审批,0.2411199601389673,0
21,55,技术,数据科学家,本科,杭州,24643.75928380265,28,642.4486244056451,44,28847.121563438108,"申请人基本信息：姓名编号21，出生于1971年，常驻杭州。教育背景：本科。现职：数据科学家@技术行业。收入水平：24,644/年。从业28年。",[职业优势] 技术行业收入稳定，风险较低|[交易稀疏] 月均交易44笔，可能存在隐性收入|[低风险] 综合评分0.26，可以正常审批,0.2592945271558444,0
25,37,医疗,医院院长,本科,深圳,10056.24196274316,10,663.5112550901979,13,18573.69228351203,KYC核查结果：用户25在医疗领域任医院院长一职，月薪约838元。学历本科，年龄37岁，居住地深圳。职业发展稳定，行业内资深人士。,[交易稀疏] 月均交易13笔，可能存在隐性收入|[低风险] 综合评分0.27，可以正常审批,0.2662346120178988,0
28,34,金融,风控总监,本科,广州,21852.89269415153,5,668.6260190374513,5,2494.512247013422,"KYC核查结果：用户28在金融领域任风控总监一职，月薪约1,821元。学历本科，年龄34岁，居住地广州。职业发展稳定，行业内资深人士。",[职业优势] 金融行业收入稳定，风险较低|[交易稀疏] 月均交易5笔，可能存在隐性收入|[低风险] 综合评分0.24，可以正常审批,0.236979719451379,0
33,47,技术,架构师,中专,南京,11491.738731139754,16,669.9092381859989,38,17968.91173338064,"申请人基本信息：姓名编号33，出生于1979年，常驻南京。教育背景：中专。现职：架构师@技术行业。收入水平：11,492/年。从业16年。",[职业优势] 技术行业收入稳定，风险较低|[交易稀疏] 月均交易38笔，可能存在隐性收入|[低风险] 综合评分0.25，可以正常审批,0.2512779102627072,0
34,56,医疗,医学博士,本科,杭州,17913.40435012571,35,850.0,31,34514.224700508916,"申请人基本信息：姓名编号34，出生于1970年，常驻杭州。教育背景：本科。现职：医学博士@医疗行业。收入水平：17,913/年。从业35年。",[交易稀疏] 月均交易31笔，可能存在隐性收入|[低风险] 综合评分0.00，可以正常审批,0.0,0
38,55,管理,部门经理,高中,北京,23439.7358613171,33,727.7664895788425,21,17699.373472397874,"KYC核查结果：用户38在管理领域任部门经理一职，月薪约1,953元。学历高中，年龄55岁，居住地北京。职业发展稳定，行业内资深人士。",[交易稀疏] 月均交易21笔，可能存在隐性收入|[低风险] 综合评分0.14，可以正常审批,0.1438041299072441,0
40,32,技术,架构师,硕士,广州,11551.87350536427,10,632.4166352488442,28,47579.75019994025,KYC核查结果：用户40在技术领域任架构师一职，月薪约963元。学历硕士，年龄32岁，居住地广州。职业发展稳定，行业内资深人士。,[职业优势] 技术行业收入稳定，风险较低|[交易稀疏] 月均交易28笔，可能存在隐性收入|[低风险] 综合评分0.29，可以正常审批,0.2931814076630565,0
41,35,教育,校长,本科,广州,14125.184560770384,12,677.0678329523112,40,39691.28899693314,"申请人基本信息：姓名编号41，出生于1991年，常驻广州。教育背景：本科。现职：校长@教育行业。收入水平：14,125/年。从业12年。",[交易稀疏] 月均交易40笔，可能存在隐性收入|[高风险] 综合评分0.28，建议拒绝或额度控制,0.2831046474622587,1
45,64,销售,区域经理,中专,成都,23919.064926273702,32,684.0171159278425,47,12637.817093331028,"用户45，64岁，成都市民，学历中专。现任职位：区域经理。工作行业：销售。年收入约23,919元。在成都定居5年。",[交易稀疏] 月均交易47笔，可能存在隐性收入|[低风险] 综合评分0.29，可以正常审批,0.2918411035099983,0
